longitude,latitude,magnitude,time
29.0815,40.7328,3.2431,2024-01-25 17:30:01
26.0313,39.6,3.0002500000000003,2024-01-25 23:25:46
28.8663,40.4215,3.0812,2024-01-26 05:15:27
28.125,40.7395,3.16215,2024-01-26 12:21:56
27.3842,40.7607,3.5669,2024-01-26 22:21:46
28.8502,40.4265,3.97165,2024-01-27 02:19:47
28.8535,40.4313,3.97165,2024-01-27 03:17:36
28.8557,40.4312,3.64785,2024-01-27 03:27:46
28.8332,40.4143,3.5669,2024-01-28 15:15:20
28.869,41.4785,3.2431,2024-01-29 06:19:27
28.8852,40.4213,3.16215,2024-01-29 14:31:00
28.5312,41.4777,3.0002500000000003,2024-01-30 02:38:12
28.8743,40.445,3.4,2024-01-30 17:55:08
28.848,40.4082,3.97165,2024-01-31 10:17:30
26.2182,39.6548,3.4859500000000003,2024-01-31 11:53:41
28.8692,40.4183,4.0526,2024-01-31 12:48:35
28.8747,40.4145,3.0812,2024-02-03 10:51:48
26.3827,39.613,3.0812,2024-02-03 16:15:19
26.378,39.6103,3.0002500000000003,2024-02-03 16:24:18
28.8312,40.4127,3.0002500000000003,2024-02-03 19:47:10
26.3562,40.4792,4.13355,2024-02-04 00:10:54
27.0203,40.2853,3.0,2024-02-04 04:17:52
27.0318,40.2985,3.405,2024-02-05 15:40:04
27.1063,40.519,3.0002500000000003,2024-02-08 00:36:39
27.0238,40.2975,3.2431,2024-02-12 11:13:09
27.034,40.292,3.5669,2024-02-12 11:53:50
27.0307,40.2887,3.2431,2024-02-12 11:55:29
27.0337,40.29,3.0002500000000003,2024-02-12 12:14:29
27.0135,40.2955,3.0002500000000003,2024-02-12 12:23:35
27.0227,40.2923,3.2431,2024-02-12 13:05:32
27.0407,40.3018,3.0812,2024-02-12 13:11:04
27.0248,40.2893,3.4859500000000003,2024-02-12 13:16:32
27.0305,40.3073,3.0812,2024-02-12 13:32:41
27.019,40.2947,3.0002500000000003,2024-02-12 13:33:48
27.0343,40.295,3.2431,2024-02-12 13:43:38
27.0263,40.2962,3.32405,2024-02-12 13:48:44
27.0458,40.2998,3.4859500000000003,2024-02-12 14:56:39
27.0342,40.3028,3.0812,2024-02-12 15:23:36
27.0288,40.2912,3.0002500000000003,2024-02-12 17:25:59
25.6323,39.8162,3.64785,2024-02-12 17:26:25
27.0778,40.1942,3.405,2024-02-12 20:11:25
27.0362,40.3028,3.16215,2024-02-12 20:11:53
27.0228,40.2925,3.16215,2024-02-12 23:52:20
27.0193,40.2993,3.0002500000000003,2024-02-13 01:52:39
27.564,40.597,3.0,2024-02-13 12:25:01
29.376,40.3053,3.7288,2024-02-13 17:09:50
27.0217,40.296,3.0002500000000003,2024-02-13 18:52:32
27.027,40.2977,3.16215,2024-02-13 20:24:40
27.0228,40.2925,3.80975,2024-02-13 20:28:20
27.0243,40.298,3.16215,2024-02-13 20:38:13
28.3208,40.835,3.2431,2024-02-13 23:43:41
27.0273,40.2988,3.4859500000000003,2024-02-14 02:37:38
