lon,lat,P35,P45,Psim_M5_lo,Psim_M5_hi,Psim_M6_lo,Psim_M6_hi,renewal_30d,combined_M6plus,place
28.35,40.85,0.42857142857142855,0.002066115702479339,0.001,0.0105,0.0,0.001,0.0006576638791306329,0.0009574665799668702,MARMARA DENIZI
28.45,40.85,0.42857142857142855,0.002066115702479339,0.0006,0.0071,0.0,0.0007,0.0006576638791306329,0.0007575981127427855,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
28.25,40.85,0.16666666666666666,0.002066115702479339,0.0006,0.0081,0.0,0.0014,0.0006576638791306329,0.0009574665799668702,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
28.75,40.85,0.09090909090909091,0.018867924528301886,0.0002,0.0023,0.0,0.0002,0.000342434039064939,0.00034243403906497605,MARMARA DENIZI
27.95,40.85,0.09090909090909091,0.0013897161008536827,0.0003,0.0026,0.0,0.0002,0.0006576638791306329,0.0006576638791306877,MARMARA EREGLISI AÇIKLARI-TEKIRDAG (MARMARA DENIZI)
28.05,40.85,0.09090909090909091,0.018867924528301886,0.0002,0.0045,0.0,0.0005,0.0006576638791306329,0.0006576638791306877,MARMARA DENIZI
29.15,40.65,0.09090909090909091,0.002066115702479339,0.0002,0.0037,0.0,0.0004,0.000342434039064939,0.00034243403906497605,KORU-CINARCIK (YALOVA) [South West  1.2 km]
27.55,40.75,0.09090909090909091,0.002066115702479339,0.0003,0.004,0.0,0.0005,0.00017045092693803061,0.0003704168367526517,MARMARA DENIZI
27.95,40.75,0.09090909090909091,0.018867924528301886,0.0005,0.0028,0.0,0.0005,0.0006576638791306329,0.0008575323463548834,MARMARA DENIZI
27.15,40.35,0.06349206349206349,0.002066115702479339,0.0002,0.0018,0.0,0.0002,0.00017045092693803061,0.00027043388184533335,KARAHAMZALAR-BIGA (CANAKKALE) [North East  0.9 km]
27.45,40.75,0.06349206349206349,0.0013897161008536827,0.0005,0.0066,0.0001,0.0007,0.00017045092693803061,0.0007703486563819251,GÜZELKÖY AÇIKLARI-TEKIRDAG (MARMARA DENIZI)
29.05,40.65,0.06349206349206349,0.0013897161008536827,0.0001,0.0026,0.0,0.0004,0.000342434039064939,0.00034243403906497605,KOCADERE-CINARCIK (YALOVA) [North East  2.7 km]
27.85,40.85,0.06349206349206349,0.0013897161008536827,0.0002,0.0016,0.0,0.0002,0.0006576638791306329,0.0007575981127427855,MARMARA DENIZI
27.75,40.75,0.06349206349206349,0.018867924528301886,0.0001,0.0027,0.0,0.0003,0.0006576638791306329,0.0006576638791306877,MARMARA DENIZI
28.95,40.65,0.05555555555555555,0.002066115702479339,0.0002,0.0016,0.0,0.0001,0.000342434039064939,0.00034243403906497605,ESENKOY-CINARCIK (YALOVA) [North 3.1 km]
29.05,40.75,0.05555555555555555,0.002066115702479339,0.0,0.0018,0.0,0.0001,0.000342434039064939,0.00034243403906497605,CINARCIK ACIKLARI-YALOVA (MARMARA DENIZI)
27.45,40.65,0.05555555555555555,0.002066115702479339,0.0004,0.0039,0.0,0.0005,0.00017045092693803061,0.000170450926938015,GUZELKOY ACIKLARI-TEKIRDAG (MARMARA DENIZI)
29.25,40.65,0.05555555555555555,0.002066115702479339,0.0,0.0014,0.0,0.0001,0.000342434039064939,0.00034243403906497605,YALOVA [South West  1.2 km]
30.85,40.75,0.05555555555555555,0.002066115702479339,0.0002,0.0013,0.0001,0.0002,4.1219236520254966e-09,0.00010000412151145444,KARADERE-HENDEK (SAKARYA) [North East  2.4 km]
29.25,40.45,0.05555555555555555,0.002066115702479339,0.0003,0.0028,0.0,0.0002,0.000342434039064939,0.00034243403906497605,GEDELEK-ORHANGAZI (BURSA) [North West  2.2 km]
